id,name,pop,labor_force,employed,unemployed,unemployment_rate,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_avg_wkly_wage,annual_contributions
13279,Toombs,16923,12802.0,11391.0,1411.0,11.0,795,12011,387040403,98382084,620,2535873
13281,Towns,6098,4163.0,3722.0,441.0,10.6,339,3217,86475560,24017041,517,410693
13283,Treutlen,4335,2829.0,2482.0,347.0,12.3,102,1043,26106402,7842149,481,133474
13285,Troup,45143,36188.0,33071.0,3117.0,8.6,1611,36542,1437889540,368665182,757,10058683
13287,Turner,4915,3339.0,3005.0,334.0,10.0,184,2030,58257025,15862869,552,524367
13289,Twiggs,5490,3124.0,2694.0,430.0,13.8,97,1150,37295790,10259257,624,259892
13291,Union,12072,9332.0,8599.0,733.0,7.9,594,6047,186131190,48153479,592,971092
13293,Upson,16974,11930.0,10759.0,1171.0,9.8,491,7045,224039119,53476022,612,1305883
13295,Walker,44508,30174.0,27744.0,2430.0,8.1,784,12454,388746477,93684113,600,3948658
13297,Walton,55829,41075.0,37885.0,3190.0,7.8,1734,18903,662368113,168079016,674,4175382
13299,Ware,23001,15108.0,13694.0,1414.0,9.4,951,14265,451782980,100385481,609,2368408
13301,Warren,3437,2729.0,2402.0,327.0,12.0,95,1333,45400500,10705497,655,574551
13303,Washington,13650,7696.0,6952.0,744.0,9.7,407,6555,221153266,44334786,649,813636
13305,Wayne,19527,12302.0,11099.0,1203.0,9.8,604,8165,305918523,57746727,721,1362760
13307,Webster,1714,1035.0,940.0,95.0,9.2,44,536,16816909,4573273,604,95376
13309,Wheeler,5810,1896.0,1657.0,239.0,12.6,91,1353,42025519,12130527,597,275938
13311,White,17374,13802.0,12784.0,1018.0,7.4,685,6622,196372428,57714472,570,1407757
13313,Whitfield,66799,44679.0,40418.0,4261.0,9.5,2429,52282,2046817374,509279449,753,21189675
13315,Wilcox,6226,2818.0,2507.0,311.0,11.0,117,1152,29908676,6216027,499,115479
13317,Wilkes,6054,3739.0,3322.0,417.0,11.2,253,2854,82797944,20190831,558,563921
13319,Wilkinson,5936,3719.0,3335.0,384.0,10.3,175,2934,137397588,27077957,901,524399
13321,Worth,13596,9248.0,8399.0,849.0,9.2,359,3386,104804094,25341095,595,423394
