id,name,pop,labor_force,employed,unemployed,unemployment_rate,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_avg_wkly_wage,annual_contributions
13135,Gwinnett,1314205,365238.0,348206.0,17032.0,4.7,19842,289229,11421214158,2656189247,759,16083656
13137,Habersham,73729,18746.0,17940.0,806.0,4.3,873,14134,368274543,101104325,501,445289
13139,Hall,295993,75653.0,72420.0,3233.0,4.3,3589,64051,1985594492,511977371,596,2204336
13141,Hancock,20489,3380.0,3092.0,288.0,8.5,99,1628,33398387,4807600,395,46418
13143,Haralson,51273,12417.0,11826.0,591.0,4.8,463,6410,167926038,45537993,504,305085
13145,Harris,49574,13465.0,12967.0,498.0,3.7,373,5299,102159735,36922900,371,116706
13147,Hart,44305,10895.0,10247.0,648.0,5.9,444,7092,190302682,51031757,516,215125
13149,Heard,21709,5016.0,4738.0,278.0,5.5,147,2596,89414036,23575514,662,394500
13151,Henry,267155,75070.0,71914.0,3156.0,4.2,2569,36351,1058128983,273984456,560,2058641
13153,Houston,230091,56878.0,54692.0,2186.0,3.8,2213,47627,1560341620,246256242,630,1325858
13155,Irwin,19032,4481.0,4226.0,255.0,5.7,173,2500,54044510,17955283,416,132493
13157,Jackson,87473,21999.0,20857.0,1142.0,5.2,954,14901,388456011,126127745,501,513189
13159,Jasper,23124,5933.0,5651.0,282.0,4.8,202,2577,67005419,14319543,500,54242
13161,Jeff Davis,25346,5726.0,5249.0,477.0,8.3,331,5033,116689650,38145667,446,172326
13163,Jefferson,32534,6738.0,6133.0,605.0,9.0,405,5425,138392424,38396888,491,252140
13165,Jenkins,16199,3395.0,3165.0,230.0,6.8,167,2541,56682799,18596324,429,185852
13167,Johnson,17159,3654.0,3415.0,239.0,6.5,144,1974,43929110,13856860,428,82960
13169,Jones,49219,12256.0,11743.0,513.0,4.2,346,3211,77068372,20328843,462,134882
13171,Lamar,32594,7911.0,7416.0,495.0,6.3,259,3522,87246920,22424139,476,89912
13173,Lanier,14759,3429.0,3282.0,147.0,4.3,136,1225,27417798,6086433,430,36099
13175,Laurens,87572,21364.0,20227.0,1137.0,5.3,1128,19930,537359833,142082138,519,612029
13177,Lee,51568,14257.0,13736.0,521.0,3.7,341,3984,93001137,23958919,449,131342
13179,Liberty,127109,20380.0,19191.0,1189.0,5.8,739,14624,375043548,71378316,493,430638
13181,Lincoln,16553,3440.0,3186.0,254.0,7.4,155,1415,28974023,8516489,394,57003
